,order_id,customer_id,product_id,quantity,order_date,price,Total,year
0,O00001,C0333,P022,1,2022-01-09,185.33,185.33,2022
1,O00002,C0068,P090,1,2022-01-27,947.55,947.55,2022
2,O00003,C0483,P021,1,2022-01-17,938.65,938.65,2022
3,O00004,C0214,P076,4,2022-01-07,154.17,616.68,2022
4,O00005,C0411,P073,4,2022-01-12,131.85,527.4,2022
5,O00006,C0093,P079,4,2022-01-23,721.44,2885.76,2022
6,O00007,C0399,P046,5,2022-01-14,900.08,4500.400000000001,2022
7,O00008,C0015,P088,2,2022-01-10,403.85,807.7,2022
8,O00009,C0248,P063,1,2022-01-06,252.25,252.25,2022
9,O00010,C0455,P053,4,2022-01-02,629.57,2518.28,2022
10,O00011,C0024,P009,3,2022-01-18,258.37,775.11,2022
11,O00012,C0336,P041,1,2022-01-16,465.37,465.37,2022
12,O00013,C0361,P087,5,2022-01-30,585.47,2927.3500000000004,2022
13,O00014,C0393,P096,5,2022-01-07,872.76,4363.8,2022
14,O00015,C0371,P073,2,2022-01-23,131.85,263.7,2022
15,O00016,C0490,P086,3,2022-01-30,908.91,2726.73,2022
16,O00017,C0266,P067,5,2022-01-16,763.65,3818.25,2022
17,O00018,C0049,P056,2,2022-01-11,795.06,1590.12,2022
18,O00019,C0247,P045,4,2022-01-08,236.05,944.2,2022
19,O00020,C0077,P072,5,2022-01-01,847.22,4236.1,2022
20,O00021,C0028,P002,2,2022-01-01,56.56,113.12,2022
21,O00022,C0259,P061,4,2022-01-22,155.92,623.68,2022
22,O00023,C0446,P022,1,2022-01-03,185.33,185.33,2022
23,O00024,C0385,P063,3,2022-01-30,252.25,756.75,2022
24,O00025,C0124,P043,3,2022-01-04,748.87,2246.61,2022
25,O00026,C0026,P065,2,2022-01-27,38.36,76.72,2022
26,O00027,C0282,P083,4,2022-01-19,255.54,1022.16,2022
27,O00028,C0207,P031,1,2022-01-22,168.44,168.44,2022
28,O00029,C0236,P057,5,2022-01-16,621.97,3109.8500000000004,2022
29,O00030,C0230,P012,4,2022-01-05,597.66,2390.64,2022
30,O00031,C0229,P041,1,2022-01-31,465.37,465.37,2022
31,O00032,C0255,P096,1,2022-01-03,872.76,872.76,2022
32,O00033,C0053,P052,4,2022-01-25,940.13,3760.52,2022
33,O00034,C0019,P072,5,2022-01-17,847.22,4236.1,2022
34,O00035,C0001,P012,5,2022-01-03,597.66,2988.2999999999997,2022
35,O00036,C0494,P080,3,2022-01-24,642.94,1928.8200000000002,2022
36,O00037,C0456,P066,5,2022-01-24,572.04,2860.2,2022
37,O00038,C0106,P084,4,2022-01-04,348.97,1395.88,2022
38,O00039,C0487,P044,3,2022-01-29,505.21,1515.6299999999999,2022
39,O00040,C0423,P007,2,2022-01-09,325.74,651.48,2022
40,O00041,C0433,P059,3,2022-01-21,894.42,2683.2599999999998,2022
41,O00042,C0287,P099,5,2022-01-08,698.17,3490.85,2022
42,O00043,C0308,P061,3,2022-01-15,155.92,467.76,2022
43,O00044,C0367,P058,1,2022-01-10,535.79,535.79,2022
44,O00045,C0050,P098,2,2022-01-09,567.31,1134.62,2022
45,O00046,C0002,P044,3,2022-01-15,505.21,1515.6299999999999,2022
46,O00047,C0425,P082,3,2022-01-02,545.01,1635.03,2022
47,O00048,C0281,P067,3,2022-01-04,763.65,2290.95,2022
48,O00049,C0360,P014,1,2022-01-27,414.78,414.78,2022
49,O00050,C0460,P022,4,2022-01-06,185.33,741.32,2022
50,O00051,C0072,P092,4,2022-01-28,588.3,2353.2,2022
51,O00052,C0055,P033,5,2022-01-02,666.87,3334.35,2022
52,O00053,C0101,P025,1,2022-01-28,576.6,576.6,2022
53,O00054,C0477,P051,2,2022-01-10,121.31,242.62,2022
54,O00055,C0235,P025,3,2022-01-12,576.6,1729.8000000000002,2022
55,O00056,C0056,P097,4,2022-01-26,932.46,3729.84,2022
56,O00057,C0024,P082,5,2022-01-22,545.01,2725.05,2022
57,O00058,C0064,P099,4,2022-01-11,698.17,2792.68,2022
58,O00059,C0235,P085,5,2022-01-14,185.69,928.45,2022
59,O00060,C0490,P065,2,2022-01-24,38.36,76.72,2022
60,O00061,C0494,P064,1,2022-01-04,745.23,745.23,2022
